200410 232536.396|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\pc2Client\bin\logs directory.
200410 232536.396|INFO|AWT-EventQueue-0|info|
200410 232536.396|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 11.0.6 build 5102 Windows 10 10.0 (amd64) 
200410 232536.396|INFO|AWT-EventQueue-0|info|Login: 1 (aka team1)
200410 232536.411|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\pc2Client\bin
200410 232536.427|INFO|AWT-EventQueue-0|startLog|Process id is 280@DESKTOP-76SCFF5
200410 232536.427|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM1 @ site 0
200410 232536.427|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM1 @ site 0
200410 232536.427|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #3 TEAM1 @ site 0 -> SERVER0 @ site 0
200410 232536.427|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #3 TEAM1 @ site 0 -> SERVER0 @ site 0
200410 232536.427|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200410 232536.427|INFO|Thread-5|run|send(Serializable)
200410 232536.724|INFO|Thread-0|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200410 232536.942|INFO|Thread-6|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #24576 SERVER0 @ site 1 -> TEAM1 @ site 1
200410 232536.942|INFO|Thread-6|dumpPacket|Packet LOGIN_SUCCESS (Seq #24576, o#24576 ) recieveObject
200410 232536.942|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default--405434283424409324)
200410 232536.942|INFO|Thread-6|dumpPacket|    To: TEAM1 @ site 1
200410 232536.942|INFO|Thread-6|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@4ca87341
200410 232536.942|INFO|Thread-6|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200410 232536.942|INFO|Thread-6|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@426f84a4
