200408 190408.410|CONFIG|Thread-2|setFileHandlers|Now logging to C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\pc2Client\bin\logs directory.
200408 190408.411|INFO|Thread-2|info|
200408 190408.411|INFO|Thread-2|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 11.0.6 build 5102 Windows 10 10.0 (amd64) 
200408 190408.411|INFO|Thread-2|info|Login: team1 (aka team1)
200408 190408.411|INFO|Thread-2|startLog|Working directory is C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\pc2Client\bin
200408 190408.412|INFO|Thread-2|startLog|Process id is 8580@DESKTOP-76SCFF5
200408 190408.413|INFO|Thread-2|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200408 190408.421|INFO|Thread-2|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200408 190408.619|INFO|Thread-2|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200408 190408.621|INFO|Thread-2|info|handlePacket end Packet[LOGIN_SUCCESS] #1911 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190408.623|INFO|Thread-2|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #1911 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190455.424|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI 1 C/C++ file: C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\Contest1\1.cpp
200408 190455.435|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190455.436|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190455.552|INFO|Thread-4|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1963 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190455.553|INFO|Thread-4|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1963, o#1963 ) recieveObject
200408 190455.554|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190455.555|INFO|Thread-4|dumpPacket|    To: TEAM1 @ site 1
200408 190455.555|INFO|Thread-4|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 244 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6540593ms from TEAM1 @ site 1 id Run--7389742953392103097 problem BAI_1--5074640554644016016 lang C/C++-5815564170056165151
200408 190455.556|INFO|Thread-4|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1963 SERVER0 @ site 1 -> TEAM1 @ site 1
